on,0,0,0,0,0,0,0,0,0,14
the,0,0,0,0,0,0,0,0,1,14
first,0,0,0,0,0,0,0,1,0,13
day,0,0,0,0,0,0,0,1,1,14
of,0,0,0,0,0,0,1,0,0,14
christmas,0,0,0,0,0,0,1,0,1,14
my,0,0,0,0,0,0,1,1,0,14
true,0,0,0,0,0,0,1,1,1,14
love,0,0,0,0,0,1,0,0,0,14
gave,0,0,0,0,0,1,0,0,1,14
to,0,0,0,0,0,1,0,1,0,14
me,0,0,0,0,0,1,0,1,1,14
a,0,0,0,0,0,1,1,0,0,14
partridge,0,0,0,0,0,1,1,0,1,1
in,0,0,0,0,0,1,1,1,0,14
a,0,0,0,0,0,1,1,1,1,14
pear,0,0,0,0,1,0,0,0,0,1
tree,0,0,0,0,1,0,0,0,1,1
on,0,0,0,0,1,0,0,1,0,14
the,0,0,0,0,1,0,0,1,1,14
second,0,0,0,0,1,0,1,0,0,13
day,0,0,0,0,1,0,1,0,1,14
of,0,0,0,0,1,0,1,1,0,14
christmas,0,0,0,0,1,0,1,1,1,14
my,0,0,0,0,1,1,0,0,0,14
true,0,0,0,0,1,1,0,0,1,14
love,0,0,0,0,1,1,0,1,0,14
gave,0,0,0,0,1,1,0,1,1,14
to,0,0,0,0,1,1,1,0,0,14
me,0,0,0,0,1,1,1,0,1,14
two,0,0,0,0,1,1,1,1,0,13
turtle,0,0,0,0,1,1,1,1,1,2
doves,0,0,0,1,0,0,0,0,0,2
and,0,0,0,1,0,0,0,0,1,14
a,0,0,0,1,0,0,0,1,0,14
partridge,0,0,0,1,0,0,0,1,1,1
in,0,0,0,1,0,0,1,0,0,14
a,0,0,0,1,0,0,1,0,1,14
pear,0,0,0,1,0,0,1,1,0,1
tree,0,0,0,1,0,0,1,1,1,1
on,0,0,0,1,0,1,0,0,0,14
the,0,0,0,1,0,1,0,0,1,14
third,0,0,0,1,0,1,0,1,0,13
day,0,0,0,1,0,1,0,1,1,14
of,0,0,0,1,0,1,1,0,0,14
christmas,0,0,0,1,0,1,1,0,1,14
my,0,0,0,1,0,1,1,1,0,14
true,0,0,0,1,0,1,1,1,1,14
love,0,0,0,1,1,0,0,0,0,14
gave,0,0,0,1,1,0,0,0,1,14
to,0,0,0,1,1,0,0,1,0,14
me,0,0,0,1,1,0,0,1,1,14
three,0,0,0,1,1,0,1,0,0,13
french,0,0,0,1,1,0,1,0,1,3
hens,0,0,0,1,1,0,1,1,0,3
two,0,0,0,1,1,0,1,1,1,13
turtle,0,0,0,1,1,1,0,0,0,2
doves,0,0,0,1,1,1,0,0,1,2
and,0,0,0,1,1,1,0,1,0,14
a,0,0,0,1,1,1,0,1,1,14
partridge,0,0,0,1,1,1,1,0,0,1
in,0,0,0,1,1,1,1,0,1,14
a,0,0,0,1,1,1,1,1,0,14
pear,0,0,0,1,1,1,1,1,1,1
tree,0,0,1,0,0,0,0,0,0,1
on,0,0,1,0,0,0,0,0,1,14
the,0,0,1,0,0,0,0,1,0,14
fourth,0,0,1,0,0,0,0,1,1,13
day,0,0,1,0,0,0,1,0,0,14
of,0,0,1,0,0,0,1,0,1,14
christmas,0,0,1,0,0,0,1,1,0,14
my,0,0,1,0,0,0,1,1,1,14
true,0,0,1,0,0,1,0,0,0,14
love,0,0,1,0,0,1,0,0,1,14
gave,0,0,1,0,0,1,0,1,0,14
to,0,0,1,0,0,1,0,1,1,14
me,0,0,1,0,0,1,1,0,0,14
four,0,0,1,0,0,1,1,0,1,13
calling,0,0,1,0,0,1,1,1,0,4
birds,0,0,1,0,0,1,1,1,1,4
three,0,0,1,0,1,0,0,0,0,13
french,0,0,1,0,1,0,0,0,1,3
hens,0,0,1,0,1,0,0,1,0,3
two,0,0,1,0,1,0,0,1,1,13
turtle,0,0,1,0,1,0,1,0,0,2
doves,0,0,1,0,1,0,1,0,1,2
and,0,0,1,0,1,0,1,1,0,14
a,0,0,1,0,1,0,1,1,1,14
partridge,0,0,1,0,1,1,0,0,0,1
in,0,0,1,0,1,1,0,0,1,14
a,0,0,1,0,1,1,0,1,0,14
pear,0,0,1,0,1,1,0,1,1,1
tree,0,0,1,0,1,1,1,0,0,1
on,0,0,1,0,1,1,1,0,1,14
the,0,0,1,0,1,1,1,1,0,14
fifth,0,0,1,0,1,1,1,1,1,13
day,0,0,1,1,0,0,0,0,0,14
of,0,0,1,1,0,0,0,0,1,14
christmas,0,0,1,1,0,0,0,1,0,14
my,0,0,1,1,0,0,0,1,1,14
true,0,0,1,1,0,0,1,0,0,14
love,0,0,1,1,0,0,1,0,1,14
gave,0,0,1,1,0,0,1,1,0,14
to,0,0,1,1,0,0,1,1,1,14
me,0,0,1,1,0,1,0,0,0,14
five,0,0,1,1,0,1,0,0,1,13
gold,0,0,1,1,0,1,0,1,0,5
rings,0,0,1,1,0,1,0,1,1,5
four,0,0,1,1,0,1,1,0,0,13
calling,0,0,1,1,0,1,1,0,1,4
birds,0,0,1,1,0,1,1,1,0,4
three,0,0,1,1,0,1,1,1,1,13
french,0,0,1,1,1,0,0,0,0,3
hens,0,0,1,1,1,0,0,0,1,3
two,0,0,1,1,1,0,0,1,0,13
turtle,0,0,1,1,1,0,0,1,1,2
doves,0,0,1,1,1,0,1,0,0,2
and,0,0,1,1,1,0,1,0,1,14
a,0,0,1,1,1,0,1,1,0,14
partridge,0,0,1,1,1,0,1,1,1,1
in,0,0,1,1,1,1,0,0,0,14
a,0,0,1,1,1,1,0,0,1,14
pear,0,0,1,1,1,1,0,1,0,1
tree,0,0,1,1,1,1,0,1,1,1
on,0,0,1,1,1,1,1,0,0,14
the,0,0,1,1,1,1,1,0,1,14
sixth,0,0,1,1,1,1,1,1,0,13
day,0,0,1,1,1,1,1,1,1,14
of,0,1,0,0,0,0,0,0,0,14
christmas,0,1,0,0,0,0,0,0,1,14
my,0,1,0,0,0,0,0,1,0,14
true,0,1,0,0,0,0,0,1,1,14
love,0,1,0,0,0,0,1,0,0,14
gave,0,1,0,0,0,0,1,0,1,14
to,0,1,0,0,0,0,1,1,0,14
me,0,1,0,0,0,0,1,1,1,14
six,0,1,0,0,0,1,0,0,0,13
geese,0,1,0,0,0,1,0,0,1,6
a-laying,0,1,0,0,0,1,0,1,0,6
five,0,1,0,0,0,1,0,1,1,13
gold,0,1,0,0,0,1,1,0,0,5
rings,0,1,0,0,0,1,1,0,1,5
four,0,1,0,0,0,1,1,1,0,13
calling,0,1,0,0,0,1,1,1,1,4
birds,0,1,0,0,1,0,0,0,0,4
three,0,1,0,0,1,0,0,0,1,13
french,0,1,0,0,1,0,0,1,0,3
hens,0,1,0,0,1,0,0,1,1,3
two,0,1,0,0,1,0,1,0,0,13
turtle,0,1,0,0,1,0,1,0,1,2
doves,0,1,0,0,1,0,1,1,0,2
and,0,1,0,0,1,0,1,1,1,14
a,0,1,0,0,1,1,0,0,0,14
partridge,0,1,0,0,1,1,0,0,1,1
in,0,1,0,0,1,1,0,1,0,14
a,0,1,0,0,1,1,0,1,1,14
pear,0,1,0,0,1,1,1,0,0,1
tree,0,1,0,0,1,1,1,0,1,1
on,0,1,0,0,1,1,1,1,0,14
the,0,1,0,0,1,1,1,1,1,14
seventh,0,1,0,1,0,0,0,0,0,13
day,0,1,0,1,0,0,0,0,1,14
of,0,1,0,1,0,0,0,1,0,14
christmas,0,1,0,1,0,0,0,1,1,14
my,0,1,0,1,0,0,1,0,0,14
true,0,1,0,1,0,0,1,0,1,14
love,0,1,0,1,0,0,1,1,0,14
gave,0,1,0,1,0,0,1,1,1,14
to,0,1,0,1,0,1,0,0,0,14
me,0,1,0,1,0,1,0,0,1,14
seven,0,1,0,1,0,1,0,1,0,13
swans,0,1,0,1,0,1,0,1,1,7
a-swimming,0,1,0,1,0,1,1,0,0,7
six,0,1,0,1,0,1,1,0,1,13
geese,0,1,0,1,0,1,1,1,0,6
a-laying,0,1,0,1,0,1,1,1,1,6
five,0,1,0,1,1,0,0,0,0,13
gold,0,1,0,1,1,0,0,0,1,5
rings,0,1,0,1,1,0,0,1,0,5
four,0,1,0,1,1,0,0,1,1,13
calling,0,1,0,1,1,0,1,0,0,4
birds,0,1,0,1,1,0,1,0,1,4
three,0,1,0,1,1,0,1,1,0,13
french,0,1,0,1,1,0,1,1,1,3
hens,0,1,0,1,1,1,0,0,0,3
two,0,1,0,1,1,1,0,0,1,13
turtle,0,1,0,1,1,1,0,1,0,2
doves,0,1,0,1,1,1,0,1,1,2
and,0,1,0,1,1,1,1,0,0,14
a,0,1,0,1,1,1,1,0,1,14
partridge,0,1,0,1,1,1,1,1,0,1
in,0,1,0,1,1,1,1,1,1,14
a,0,1,1,0,0,0,0,0,0,14
pear,0,1,1,0,0,0,0,0,1,1
tree,0,1,1,0,0,0,0,1,0,1
on,0,1,1,0,0,0,0,1,1,14
the,0,1,1,0,0,0,1,0,0,14
eighth,0,1,1,0,0,0,1,0,1,13
day,0,1,1,0,0,0,1,1,0,14
of,0,1,1,0,0,0,1,1,1,14
christmas,0,1,1,0,0,1,0,0,0,14
my,0,1,1,0,0,1,0,0,1,14
true,0,1,1,0,0,1,0,1,0,14
love,0,1,1,0,0,1,0,1,1,14
gave,0,1,1,0,0,1,1,0,0,14
to,0,1,1,0,0,1,1,0,1,14
me,0,1,1,0,0,1,1,1,0,14
eight,0,1,1,0,0,1,1,1,1,13
maids,0,1,1,0,1,0,0,0,0,8
a-milking,0,1,1,0,1,0,0,0,1,8
seven,0,1,1,0,1,0,0,1,0,13
swans,0,1,1,0,1,0,0,1,1,7
a-swimming,0,1,1,0,1,0,1,0,0,7
six,0,1,1,0,1,0,1,0,1,13
geese,0,1,1,0,1,0,1,1,0,6
a-laying,0,1,1,0,1,0,1,1,1,6
five,0,1,1,0,1,1,0,0,0,13
gold,0,1,1,0,1,1,0,0,1,5
rings,0,1,1,0,1,1,0,1,0,5
four,0,1,1,0,1,1,0,1,1,13
calling,0,1,1,0,1,1,1,0,0,4
birds,0,1,1,0,1,1,1,0,1,4
three,0,1,1,0,1,1,1,1,0,13
french,0,1,1,0,1,1,1,1,1,3
hens,0,1,1,1,0,0,0,0,0,3
two,0,1,1,1,0,0,0,0,1,13
turtle,0,1,1,1,0,0,0,1,0,2
doves,0,1,1,1,0,0,0,1,1,2
and,0,1,1,1,0,0,1,0,0,14
a,0,1,1,1,0,0,1,0,1,14
partridge,0,1,1,1,0,0,1,1,0,1
in,0,1,1,1,0,0,1,1,1,14
a,0,1,1,1,0,1,0,0,0,14
pear,0,1,1,1,0,1,0,0,1,1
tree,0,1,1,1,0,1,0,1,0,1
on,0,1,1,1,0,1,0,1,1,14
the,0,1,1,1,0,1,1,0,0,14
ninth,0,1,1,1,0,1,1,0,1,13
day,0,1,1,1,0,1,1,1,0,14
of,0,1,1,1,0,1,1,1,1,14
christmas,0,1,1,1,1,0,0,0,0,14
my,0,1,1,1,1,0,0,0,1,14
true,0,1,1,1,1,0,0,1,0,14
love,0,1,1,1,1,0,0,1,1,14
gave,0,1,1,1,1,0,1,0,0,14
to,0,1,1,1,1,0,1,0,1,14
me,0,1,1,1,1,0,1,1,0,14
nine,0,1,1,1,1,0,1,1,1,13
ladies,0,1,1,1,1,1,0,0,0,9
dancing,0,1,1,1,1,1,0,0,1,9
eight,0,1,1,1,1,1,0,1,0,13
maids,0,1,1,1,1,1,0,1,1,8
a-milking,0,1,1,1,1,1,1,0,0,8
seven,0,1,1,1,1,1,1,0,1,13
swans,0,1,1,1,1,1,1,1,0,7
a-swimming,0,1,1,1,1,1,1,1,1,7
six,1,0,0,0,0,0,0,0,0,13
geese,1,0,0,0,0,0,0,0,1,6
a-laying,1,0,0,0,0,0,0,1,0,6
five,1,0,0,0,0,0,0,1,1,13
gold,1,0,0,0,0,0,1,0,0,5
rings,1,0,0,0,0,0,1,0,1,5
four,1,0,0,0,0,0,1,1,0,13
calling,1,0,0,0,0,0,1,1,1,4
birds,1,0,0,0,0,1,0,0,0,4
three,1,0,0,0,0,1,0,0,1,13
french,1,0,0,0,0,1,0,1,0,3
hens,1,0,0,0,0,1,0,1,1,3
two,1,0,0,0,0,1,1,0,0,13
turtle,1,0,0,0,0,1,1,0,1,2
doves,1,0,0,0,0,1,1,1,0,2
and,1,0,0,0,0,1,1,1,1,14
a,1,0,0,0,1,0,0,0,0,14
partridge,1,0,0,0,1,0,0,0,1,1
in,1,0,0,0,1,0,0,1,0,14
a,1,0,0,0,1,0,0,1,1,14
pear,1,0,0,0,1,0,1,0,0,1
tree,1,0,0,0,1,0,1,0,1,1
on,1,0,0,0,1,0,1,1,0,14
the,1,0,0,0,1,0,1,1,1,14
tenth,1,0,0,0,1,1,0,0,0,13
day,1,0,0,0,1,1,0,0,1,14
of,1,0,0,0,1,1,0,1,0,14
christmas,1,0,0,0,1,1,0,1,1,14
my,1,0,0,0,1,1,1,0,0,14
true,1,0,0,0,1,1,1,0,1,14
love,1,0,0,0,1,1,1,1,0,14
gave,1,0,0,0,1,1,1,1,1,14
to,1,0,0,1,0,0,0,0,0,14
me,1,0,0,1,0,0,0,0,1,14
ten,1,0,0,1,0,0,0,1,0,13
lords,1,0,0,1,0,0,0,1,1,10
a-leaping,1,0,0,1,0,0,1,0,0,10
nine,1,0,0,1,0,0,1,0,1,13
ladies,1,0,0,1,0,0,1,1,0,9
dancing,1,0,0,1,0,0,1,1,1,9
eight,1,0,0,1,0,1,0,0,0,13
maids,1,0,0,1,0,1,0,0,1,8
a-milking,1,0,0,1,0,1,0,1,0,8
seven,1,0,0,1,0,1,0,1,1,13
swans,1,0,0,1,0,1,1,0,0,7
a-swimming,1,0,0,1,0,1,1,0,1,7
six,1,0,0,1,0,1,1,1,0,13
geese,1,0,0,1,0,1,1,1,1,6
a-laying,1,0,0,1,1,0,0,0,0,6
five,1,0,0,1,1,0,0,0,1,13
gold,1,0,0,1,1,0,0,1,0,5
rings,1,0,0,1,1,0,0,1,1,5
four,1,0,0,1,1,0,1,0,0,13
calling,1,0,0,1,1,0,1,0,1,4
birds,1,0,0,1,1,0,1,1,0,4
three,1,0,0,1,1,0,1,1,1,13
french,1,0,0,1,1,1,0,0,0,3
hens,1,0,0,1,1,1,0,0,1,3
two,1,0,0,1,1,1,0,1,0,13
turtle,1,0,0,1,1,1,0,1,1,2
doves,1,0,0,1,1,1,1,0,0,2
and,1,0,0,1,1,1,1,0,1,14
a,1,0,0,1,1,1,1,1,0,14
partridge,1,0,0,1,1,1,1,1,1,1
in,1,0,1,0,0,0,0,0,0,14
a,1,0,1,0,0,0,0,0,1,14
pear,1,0,1,0,0,0,0,1,0,1
tree,1,0,1,0,0,0,0,1,1,1
on,1,0,1,0,0,0,1,0,0,14
the,1,0,1,0,0,0,1,0,1,14
eleventh,1,0,1,0,0,0,1,1,0,13
day,1,0,1,0,0,0,1,1,1,14
of,1,0,1,0,0,1,0,0,0,14
christmas,1,0,1,0,0,1,0,0,1,14
my,1,0,1,0,0,1,0,1,0,14
true,1,0,1,0,0,1,0,1,1,14
love,1,0,1,0,0,1,1,0,0,14
gave,1,0,1,0,0,1,1,0,1,14
to,1,0,1,0,0,1,1,1,0,14
me,1,0,1,0,0,1,1,1,1,14
eleven,1,0,1,0,1,0,0,0,0,13
pipers,1,0,1,0,1,0,0,0,1,11
piping,1,0,1,0,1,0,0,1,0,11
ten,1,0,1,0,1,0,0,1,1,13
lords,1,0,1,0,1,0,1,0,0,10
a-leaping,1,0,1,0,1,0,1,0,1,10
nine,1,0,1,0,1,0,1,1,0,13
ladies,1,0,1,0,1,0,1,1,1,9
dancing,1,0,1,0,1,1,0,0,0,9
eight,1,0,1,0,1,1,0,0,1,13
maids,1,0,1,0,1,1,0,1,0,8
a-milking,1,0,1,0,1,1,0,1,1,8
seven,1,0,1,0,1,1,1,0,0,13
swans,1,0,1,0,1,1,1,0,1,7
a-swimming,1,0,1,0,1,1,1,1,0,7
six,1,0,1,0,1,1,1,1,1,13
geese,1,0,1,1,0,0,0,0,0,6
a-laying,1,0,1,1,0,0,0,0,1,6
five,1,0,1,1,0,0,0,1,0,13
gold,1,0,1,1,0,0,0,1,1,5
rings,1,0,1,1,0,0,1,0,0,5
four,1,0,1,1,0,0,1,0,1,13
calling,1,0,1,1,0,0,1,1,0,4
birds,1,0,1,1,0,0,1,1,1,4
three,1,0,1,1,0,1,0,0,0,13
french,1,0,1,1,0,1,0,0,1,3
hens,1,0,1,1,0,1,0,1,0,3
two,1,0,1,1,0,1,0,1,1,13
turtle,1,0,1,1,0,1,1,0,0,2
doves,1,0,1,1,0,1,1,0,1,2
and,1,0,1,1,0,1,1,1,0,14
a,1,0,1,1,0,1,1,1,1,14
partridge,1,0,1,1,1,0,0,0,0,1
in,1,0,1,1,1,0,0,0,1,14
a,1,0,1,1,1,0,0,1,0,14
pear,1,0,1,1,1,0,0,1,1,1
tree,1,0,1,1,1,0,1,0,0,1
on,1,0,1,1,1,0,1,0,1,14
the,1,0,1,1,1,0,1,1,0,14
twelfth,1,0,1,1,1,0,1,1,1,13
day,1,0,1,1,1,1,0,0,0,14
of,1,0,1,1,1,1,0,0,1,14
christmas,1,0,1,1,1,1,0,1,0,14
my,1,0,1,1,1,1,0,1,1,14
true,1,0,1,1,1,1,1,0,0,14
love,1,0,1,1,1,1,1,0,1,14
gave,1,0,1,1,1,1,1,1,0,14
to,1,0,1,1,1,1,1,1,1,14
me,1,1,0,0,0,0,0,0,0,14
twelve,1,1,0,0,0,0,0,0,1,13
drummers,1,1,0,0,0,0,0,1,0,12
drumming,1,1,0,0,0,0,0,1,1,12
eleven,1,1,0,0,0,0,1,0,0,13
pipers,1,1,0,0,0,0,1,0,1,11
piping,1,1,0,0,0,0,1,1,0,11
ten,1,1,0,0,0,0,1,1,1,13
lords,1,1,0,0,0,1,0,0,0,10
a-leaping,1,1,0,0,0,1,0,0,1,10
nine,1,1,0,0,0,1,0,1,0,13
ladies,1,1,0,0,0,1,0,1,1,9
dancing,1,1,0,0,0,1,1,0,0,9
eight,1,1,0,0,0,1,1,0,1,13
maids,1,1,0,0,0,1,1,1,0,8
a-milking,1,1,0,0,0,1,1,1,1,8
seven,1,1,0,0,1,0,0,0,0,13
swans,1,1,0,0,1,0,0,0,1,7
a-swimming,1,1,0,0,1,0,0,1,0,7
six,1,1,0,0,1,0,0,1,1,13
geese,1,1,0,0,1,0,1,0,0,6
a-laying,1,1,0,0,1,0,1,0,1,6
five,1,1,0,0,1,0,1,1,0,13
gold,1,1,0,0,1,0,1,1,1,5
rings,1,1,0,0,1,1,0,0,0,5
four,1,1,0,0,1,1,0,0,1,13
calling,1,1,0,0,1,1,0,1,0,4
birds,1,1,0,0,1,1,0,1,1,4
three,1,1,0,0,1,1,1,0,0,13
french,1,1,0,0,1,1,1,0,1,3
hens,1,1,0,0,1,1,1,1,0,3
two,1,1,0,0,1,1,1,1,1,13
turtle,1,1,0,1,0,0,0,0,0,2
doves,1,1,0,1,0,0,0,0,1,2
and,1,1,0,1,0,0,0,1,0,14
a,1,1,0,1,0,0,0,1,1,14
partridge,1,1,0,1,0,0,1,0,0,1
in,1,1,0,1,0,0,1,0,1,14
a,1,1,0,1,0,0,1,1,0,14
pear,1,1,0,1,0,0,1,1,1,1
tree,1,1,0,1,0,1,0,0,0,1
